OTU_id	S1	S2	S3	S4	S5	S6	S7	lca_superkingdom	lca_phylum	lca_class	lca_order	lca_family	lca_genus	diamond_best_hit	diamond_pident	diamond_e-value
Otu1039	3	31	11	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|917663895|ref|WP_052218422.1|_arsenite_S-adenosylmethyltransferase_[Thermincola_ferriacetica]	67.5	1.80E-10
Otu104	118	21	14	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|500005407|ref|WP_011686125.1|_arsenite_S-adenosylmethyltransferase_[Candidatus_Solibacter_usitatus]	72.5	9.40E-12
Otu1040	1	4	3	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|501450751|ref|WP_012474200.1|_arsenite_S-adenosylmethyltransferase_[Chlorobium_phaeobacteroides]	69.2	6.70E-10
Otu1041	4	10	4	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|917663895|ref|WP_052218422.1|_arsenite_S-adenosylmethyltransferase_[Thermincola_ferriacetica]	65	8.80E-10
Otu1042	3	3	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	77.5	6.50E-13
Otu1043	27	13	8	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|504619977|ref|WP_014807079.1|_arsenite_S-adenosylmethyltransferase_[Anaerobaculum_mobile]	55	4.30E-09
Otu1044	0	1	0	0	0	19	89	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	gi|917667609|ref|WP_052221446.1|_arsenite_S-adenosylmethyltransferase_[Clostridium_homopropionicum]	95	4.30E-17
Otu1045	51	23	21	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|656269961|ref|WP_029215682.1|_arsenite_S-adenosylmethyltransferase_[bacterium_JKG1]	85	3.40E-14
Otu1046	8	3	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|806841425|ref|WP_046189027.1|_arsenite_S-adenosylmethyltransferase_[Mycobacterium_arupense]	85	1.70E-13
Otu1047	50	28	33	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|517808484|ref|WP_018978692.1|_hypothetical_protein_[Saccharibacillus_kuerlensis]	55	6.30E-08
Otu1048	8	1	4	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|929006514|ref|WP_054030453.1|_arsenite_S-adenosylmethyltransferase_[Desulfatitalea_tepidiphila]	76.9	2.50E-12
Otu1049	8	46	16	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|653117177|ref|WP_027366729.1|_methyltransferase_type_11_[Desulfovibrio_africanus]	67.5	2.70E-11
Otu105	33	13	4	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Thermincola	gi|917663895|ref|WP_052218422.1|_arsenite_S-adenosylmethyltransferase_[Thermincola_ferriacetica]	65	2.50E-09
Otu1050	3	5	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|500005407|ref|WP_011686125.1|_arsenite_S-adenosylmethyltransferase_[Candidatus_Solibacter_usitatus]	74.4	2.50E-12
Otu1051	38	8	10	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	77.5	7.70E-14
Otu1052	15	4	4	0	0	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	gi|501722131|ref|WP_012625546.1|_type_11_methyltransferase_[Desulfovibrio_desulfuricans]	81.8	6.20E-17
Otu1053	12	0	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|851320234|ref|WP_048183374.1|_arsenite_S-adenosylmethyltransferase_[Methanoculleus_sp._S3Fa]	77.5	1.00E-13
Otu1054	37	17	26	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	gi|898238653|ref|WP_049565318.1|_arsenite_S-adenosylmethyltransferase_[Streptomyces_sp._SBT349]	82.5	1.90E-12
Otu1055	7	7	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|503186410|ref|WP_013421071.1|_arsenite_S-adenosylmethyltransferase_[Rhodomicrobium_vannielii]	90	1.40E-15
Otu1056	9	9	13	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|917663895|ref|WP_052218422.1|_arsenite_S-adenosylmethyltransferase_[Thermincola_ferriacetica]	70	2.30E-10
Otu1057	0	0	0	6	10	0	0	Bacteria	NA	NA	NA	NA	NA	gi|505140033|ref|WP_015327135.1|_methylase_involved_in_ubiquinone/menaquinone_biosynthesis_[Halobacteroides_halobius]	64.1	6.10E-11
Otu1058	0	6	10	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|671595765|ref|WP_031570350.1|_arsenite_S-adenosylmethyltransferase_[Acidithiobacillus_thiooxidans]	68.4	6.10E-11
Otu1059	8	23	8	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	82.1	7.70E-14
Otu106	34	26	13	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|929006514|ref|WP_054030453.1|_arsenite_S-adenosylmethyltransferase_[Desulfatitalea_tepidiphila]	71.8	1.20E-11
Otu1060	2	4	4	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|740740956|ref|WP_038526242.1|_arsenite_S-adenosylmethyltransferase_[Formosa_agariphila]	52.4	2.00E-07
Otu1061	150	38	25	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|771601551|ref|WP_045214237.1|_arsenite_S-adenosylmethyltransferase_[Desulfonatronovibrio_magnus]	82.5	1.50E-14
Otu1062	52	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|502884378|ref|WP_013119354.1|_arsenite_S-adenosylmethyltransferase_[Thermincola_potens]	67.5	5.10E-10
Otu1063	12	2	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|496825950|ref|WP_009375031.1|_methyltransferase_[Brevibacterium_casei]	77.5	3.40E-14
Otu1064	17	0	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|801017797|ref|WP_046023086.1|_arsenite_S-adenosylmethyltransferase_[Magnetospira_sp._QH-2]	82.5	4.10E-15
Otu1065	57	1	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	72.5	1.40E-12
Otu1066	199	187	124	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|550975022|ref|WP_022723236.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_sp._B29]	87.5	1.10E-15
Otu1067	3	10	6	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|656269961|ref|WP_029215682.1|_arsenite_S-adenosylmethyltransferase_[bacterium_JKG1]	82.5	1.70E-13
Otu1068	9	0	2	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|499333191|ref|WP_011023683.1|_arsenite_S-adenosylmethyltransferase_[Methanosarcina_acetivorans]	65	4.60E-11
Otu1069	10	7	5	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	57.5	3.00E-10
Otu107	19	12	9	0	0	0	0	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	gi|501450751|ref|WP_012474200.1|_arsenite_S-adenosylmethyltransferase_[Chlorobium_phaeobacteroides]	57.5	4.30E-09
Otu1070	27	6	4	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|501125102|ref|WP_012174190.1|_arsenite_S-adenosylmethyltransferase_[Desulfococcus_oleovorans]	70	9.40E-12
Otu1071	53	21	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|506231622|ref|WP_015751397.1|_arsenite_S-adenosylmethyltransferase_[Desulfohalobium_retbaense]	69.2	2.10E-11
Otu1072	5	3	5	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|851320234|ref|WP_048183374.1|_arsenite_S-adenosylmethyltransferase_[Methanoculleus_sp._S3Fa]	57.5	1.10E-09
Otu1073	110	46	24	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|654580347|ref|WP_028047478.1|_arsenite_S-adenosylmethyltransferase_[Cellulomonas_sp._URHE0023]	72.5	7.20E-12
Otu1074	56	62	22	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|937366265|ref|WP_054585478.1|_arsenite_S-adenosylmethyltransferase_[Mycobacterium_chimaera]	69.2	3.60E-11
Otu1075	3	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Otu1076	10	14	3	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	NA	gi|771615476|ref|WP_045226361.1|_methyltransferase_type_11_[Methylococcaceae__73a]	68.8	5.90E-16
Otu1077	39	13	10	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|764547837|ref|WP_044415711.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_palustris]	90	1.40E-15
Otu1078	4	2	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|655578008|ref|WP_028929321.1|_arsenite_S-adenosylmethyltransferase_[Pseudonocardia_asaccharolytica]	65	3.00E-10
Otu1079	15	14	7	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|851219507|ref|WP_048113480.1|_methyltransferase_type_11_[Candidatus_Methanoplasma_termitum]	67.3	8.40E-15
Otu108	637	14	9	0	0	0	0	Archaea	NA	NA	NA	NA	NA	gi|494814489|ref|WP_007549897.1|_protein-L-isoaspartate_O-methyltransferase_[Candidatus_Nitrosoarchaeum_koreensis]	61	1.10E-10
Otu1080	2	5	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|651321841|ref|WP_026446224.1|_arsenite_S-adenosylmethyltransferase_[Acidobacteriaceae__URHE0068]	80	2.00E-14
Otu1081	51	20	7	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|653117177|ref|WP_027366729.1|_methyltransferase_type_11_[Desulfovibrio_africanus]	67.5	1.20E-11
Otu1082	9	0	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	87.5	4.30E-17
Otu1083	15	24	9	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	gi|656252403|ref|WP_029198871.1|_arsenite_S-adenosylmethyltransferase_[Paenibacillus_alginolyticus]	56.4	2.50E-09
Otu1084	128	38	9	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|502883608|ref|WP_013118584.1|_arsenite_S-adenosylmethyltransferase_[Cellulomonas_flavigena]	72.5	9.40E-12
Otu1085	122	23	16	0	0	0	0	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	gi|868613371|ref|WP_048492588.1|_ubiquinone_biosynthesis_methyltransferase_UbiE_[Nitrospina_sp._SCGC_AAA799_C22]	59.5	4.30E-10
Otu1086	6	3	1	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|820748555|ref|WP_046737449.1|_arsenite_S-adenosylmethyltransferase_[Dehalogenimonas_sp._WBC-2]	55	1.70E-08
Otu1087	5	1	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|517784553|ref|WP_018954761.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sulfidiphilus]	68.4	1.50E-09
Otu1088	17	9	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|505937203|ref|WP_015723951.1|_arsenite_S-adenosylmethyltransferase_[Desulfobulbus_propionicus]	90	2.20E-16
Otu1089	26	6	4	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|502782016|ref|WP_013016992.1|_arsenite_S-adenosylmethyltransferase_[Stackebrandtia_nassauensis]	85	5.30E-15
Otu109	307	154	115	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	NA	gi|771615476|ref|WP_045226361.1|_methyltransferase_type_11_[Methylococcaceae__73a]	71.4	1.40E-17
Otu1090	18	1	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|648503808|ref|WP_026195559.1|_arsenite_S-adenosylmethyltransferase_[Verrucomicrobium_sp._3C]	92.5	4.30E-17
Otu1091	29	39	28	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|922783416|ref|WP_053381118.1|_arsenite_S-adenosylmethyltransferase_[Nitrospira_moscoviensis]	85	6.90E-15
Otu1092	6	3	5	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	85	1.60E-16
Otu1093	14	10	9	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|500005407|ref|WP_011686125.1|_arsenite_S-adenosylmethyltransferase_[Candidatus_Solibacter_usitatus]	80	4.10E-15
Otu1094	0	4	11	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|727227284|ref|WP_033688162.1|_arsenite_S-adenosylmethyltransferase_[Bacillus_cereus]	74.4	4.20E-12
Otu1095	4	1	1	0	0	0	0	Bacteria	Proteobacteria	NA	NA	NA	NA	gi|550906939|ref|WP_022660098.1|_arsenite_S-adenosylmethyltransferase_[Desulfovibrio_desulfuricans]	75	2.60E-15
Otu1096	10	1	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|522208193|ref|WP_020715660.1|_hypothetical_protein_[Acidobacteriaceae__KBS_89]	85	3.10E-15
Otu1097	46	77	39	0	0	0	0	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	gi|851314766|ref|WP_048177906.1|_arsenite_S-adenosylmethyltransferase_[Methanosarcina_sp._MTP4]	60	5.10E-10
Otu1098	85	2	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|522208193|ref|WP_020715660.1|_hypothetical_protein_[Acidobacteriaceae__KBS_89]	71.8	3.20E-12
Otu1099	26	12	7	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|522200175|ref|WP_020707642.1|_hypothetical_protein_[Acidobacteriaceae__KBS_83]	85	4.10E-15
Otu11	585	286	199	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|739373310|ref|WP_037234292.1|_arsenite_S-adenosylmethyltransferase_[Rhodomicrobium_udaipurense]	92.5	4.80E-16
Otu110	60	14	5	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|522820057|ref|WP_020732918.1|_hypothetical_protein_[Sorangium_cellulosum]	74.4	5.00E-13
Otu1100	6	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|522820057|ref|WP_020732918.1|_hypothetical_protein_[Sorangium_cellulosum]	62.5	5.10E-10
Otu1101	21	45	17	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|929006514|ref|WP_054030453.1|_arsenite_S-adenosylmethyltransferase_[Desulfatitalea_tepidiphila]	72.5	3.80E-13
Otu1102	39	20	20	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	gi|950275798|ref|WP_057311336.1|_arsenite_S-adenosylmethyltransferase_[Paenibacillus_sp._Soil766]	59	1.10E-09
Otu1103	8	0	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|654873070|ref|WP_028325089.1|_arsenite_S-adenosylmethyltransferase_[Desulfatirhabdium_butyrativorans]	74.4	3.80E-13
Otu1104	4	3	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|502883608|ref|WP_013118584.1|_arsenite_S-adenosylmethyltransferase_[Cellulomonas_flavigena]	82.5	8.50E-13
Otu1105	1	2	5	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|656252403|ref|WP_029198871.1|_arsenite_S-adenosylmethyltransferase_[Paenibacillus_alginolyticus]	61.5	6.10E-11
Otu1106	16	3	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|917663895|ref|WP_052218422.1|_arsenite_S-adenosylmethyltransferase_[Thermincola_ferriacetica]	67.5	1.20E-11
Otu1107	46	66	49	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|972433444|ref|WP_059042789.1|_arsenite_S-adenosylmethyltransferase_[Paenibacillus_sp._MT18]	70	1.90E-12
Otu1108	23	8	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|496492145|ref|WP_009200715.1|_arsenite_S-adenosylmethyltransferase_[Anaerobaculum_hydrogeniformans]	72.5	1.30E-13
Otu1109	25	1	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|516744948|ref|WP_018078770.1|_arsenite_S-adenosylmethyltransferase_[Thiobacillus_denitrificans]	82.5	1.10E-12
Otu111	170	132	88	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|648606717|ref|WP_026298468.1|_arsenite_S-adenosylmethyltransferase_[Cohnella_laeviribosi]	80	5.90E-14
Otu1110	63	0	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|502959247|ref|WP_013194223.1|_arsenite_S-adenosylmethyltransferase_[Methanohalobium_evestigatum]	72.5	3.20E-12
Otu1111	31	32	19	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|502883608|ref|WP_013118584.1|_arsenite_S-adenosylmethyltransferase_[Cellulomonas_flavigena]	72.5	9.40E-12
Otu1112	12	20	24	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|836680372|ref|WP_047828246.1|_arsenite_S-adenosylmethyltransferase_[Peptococcaceae__CEB3]	50	1.20E-07
